id	narrative	1	2	3	pred	act
		0.026688464	0.034384079	0.938927457	3	3
		0.10992969	0.019491566	0.870578744	3	1
		0.017961822	0.073499063	0.908539115	3	3
		0.688505139	0.023243479	0.288251382	1	1
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.02231283	0.005208874	0.972478295	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.018914308	0.024368246	0.956717446	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.213351506	0.009822046	0.776826448	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.039227167	0.006955345	0.953817488	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.384251173	0.011349996	0.60439883	3	1
		0.019299384	0.004505393	0.976195223	3	3
		0.047021964	0.006930431	0.946047604	3	1
		0.019299384	0.004505393	0.976195223	3	3
		0.020035953	0.004677343	0.975286704	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.033332672	0.007781429	0.958885899	3	3
		0.039227167	0.006955345	0.953817488	3	3
		0.039227167	0.006955345	0.953817488	3	3
		0.02231283	0.005208874	0.972478295	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.044469671	0.215928112	0.739602217	3	3
		0.029129336	0.004460233	0.96641043	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019028409	0.036925713	0.944045877	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.087124009	0.014948852	0.897927139	3	3
		0.052678356	0.400100912	0.547220732	3	3
		0.039227167	0.006955345	0.953817488	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.039227167	0.006955345	0.953817488	3	3
		0.021380988	0.004991338	0.973627674	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.79967696	0.051080296	0.149242744	1	1
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.042991239	0.004396551	0.95261221	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.817686063	0.004333204	0.177980732	1	1
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.033332672	0.007781429	0.958885899	3	3
		0.289534379	0.041753294	0.668712327	3	1
		0.026334436	0.006147708	0.967517856	3	3
		0.021380988	0.004991338	0.973627674	3	3
		0.038031834	0.037215476	0.92475269	3	3
		0.039233839	0.015327068	0.945439094	3	2
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.056612692	0.010037962	0.933349346	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.205264509	0.036395324	0.758340167	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.016879987	0.386728393	0.59639162	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.02231283	0.005208874	0.972478295	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.058713628	0.010410477	0.930875894	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.019299384	0.004505393	0.976195223	3	3
		0.059034265	0.904292213	0.036673521	2	1
		0.019299384	0.004505393	0.976195223	3	3
		0.640371196	0.006652865	0.352975938	1	1
